Date,Symbol,Adj Close,Close,High,Low,Open,Volume
3/21/2019,FFIV,155.8300018,155.8300018,156.5500031,153.4900055,153.4900055,477300
3/22/2019,FFIV,152.2400055,152.2400055,156.4900055,152.0899963,155.5399933,604500
3/25/2019,FFIV,151.1399994,151.1399994,152.6199951,150.1399994,151.6999969,401200
3/26/2019,FFIV,152.8600006,152.8600006,153.8500061,152.1600037,152.5,662200
3/27/2019,FFIV,152.0599976,152.0599976,154.2899933,150.5099945,152.6199951,514700
3/28/2019,FFIV,153.7100067,153.7100067,154.4199982,151.2299957,152.4100037,488400
3/29/2019,FFIV,156.9299927,156.9299927,157.3500061,155.0099945,156.7299957,772000
4/1/2019,FFIV,161.4700012,161.4700012,163.8000031,158.3500061,163.8000031,1002500
4/2/2019,FFIV,165.3200073,165.3200073,165.8899994,158.4100037,161.4700012,892400
4/3/2019,FFIV,166.7100067,166.7100067,168.3000031,165.8200073,167.2700043,600200
4/4/2019,FFIV,166,166,167.4400024,164.3200073,166.7200012,526600
4/5/2019,FFIV,167.3300018,167.3300018,167.4299927,165.8099976,166.6000061,499100
4/8/2019,FFIV,167.8800049,167.8800049,167.9100037,165.4299927,167.0500031,308800
4/9/2019,FFIV,165.6600037,165.6600037,167.8600006,165.2700043,167.5299988,583200
4/10/2019,FFIV,168.1499939,168.1499939,168.1900024,164.9799957,165.4299927,565000
4/11/2019,FFIV,167.2899933,167.2899933,168.8399963,166.6600037,168.4199982,354200
4/12/2019,FFIV,167.0099945,167.0099945,168.6900024,166.75,168.2899933,659200
4/15/2019,FFIV,166.6100006,166.6100006,167.4700012,164.7599945,166.8200073,588300
4/16/2019,FFIV,166.1199951,166.1199951,167.3899994,165.5399933,167.2599945,465600
4/17/2019,FFIV,164.4499969,164.4499969,167,164.2799988,165.1799927,593400
4/18/2019,FFIV,163.3999939,163.3999939,164.8500061,162.0399933,164.3399963,659600
4/22/2019,FFIV,163.75,163.75,163.9700012,162.5,163.3999939,450200
4/23/2019,FFIV,163.9499969,163.9499969,164.5299988,162.2400055,163.3999939,594900
4/24/2019,FFIV,164.25,164.25,166.6399994,163.75,163.9499969,868300
4/25/2019,FFIV,162.4700012,162.4700012,168.9400024,156,156.5500031,1031300
4/26/2019,FFIV,159.8699951,159.8699951,163.2299957,159.5399933,161.8899994,499600
4/29/2019,FFIV,159.1000061,159.1000061,160.6300049,158.5599976,160.2599945,363600
